x,y,rgb565_hex
0,0,0xffff
1,0,0xffff
2,0,0xffff
3,0,0xffff
4,0,0xffff
5,0,0xffff
6,0,0xffff
7,0,0xffff
8,0,0xffff
9,0,0xffff
10,0,0xffff
11,0,0xffff
12,0,0xffff
13,0,0xffff
14,0,0xffff
15,0,0xffff
16,0,0xffff
17,0,0xffff
18,0,0xffff
19,0,0xffff
20,0,0xffff
21,0,0xffff
22,0,0xffff
23,0,0xffff
24,0,0xffff
25,0,0xffff
26,0,0xffff
27,0,0xffff
28,0,0xffff
29,0,0xffff
30,0,0xffff
31,0,0xffff
32,0,0xffff
33,0,0xffff
34,0,0xffff
35,0,0xffff
36,0,0xffff
37,0,0xffff
38,0,0xffff
39,0,0xffff
40,0,0xffff
41,0,0xffff
42,0,0xffff
43,0,0xffff
44,0,0xffff
45,0,0xffff
46,0,0xffff
47,0,0xffff
48,0,0xffff
49,0,0xffff
50,0,0xffff
51,0,0xffff
52,0,0xffff
53,0,0xffff
54,0,0xffff
55,0,0xffff
56,0,0xffff
57,0,0xffff
58,0,0xffff
59,0,0xffff
60,0,0xffff
61,0,0xffff
62,0,0xffff
63,0,0xffff
64,0,0xffff
65,0,0xffff
66,0,0xffff
67,0,0xffff
68,0,0xffff
69,0,0xffff
70,0,0xffff
71,0,0xffff
72,0,0xffff
73,0,0xffff
74,0,0xffff
75,0,0xffff
76,0,0xffff
77,0,0xffff
78,0,0xffff
79,0,0xffff
80,0,0xffff
81,0,0xffff
82,0,0xffff
83,0,0xffff
84,0,0xffff
85,0,0xffff
86,0,0xffff
87,0,0xffff
88,0,0xffff
89,0,0xffff
90,0,0xffff
91,0,0xffff
92,0,0xffff
93,0,0xffff
94,0,0xffff
95,0,0xffff
96,0,0xffff
97,0,0xffff
98,0,0xffff
99,0,0xffff
100,0,0xffff
101,0,0xffff
102,0,0xffff
103,0,0xffff
104,0,0xffff
105,0,0xffff
106,0,0xffff
107,0,0xffff
108,0,0xffff
109,0,0xffff
110,0,0xffff
111,0,0xffff
112,0,0xffff
113,0,0xffff
114,0,0xffff
115,0,0xffff
116,0,0xffff
117,0,0xffff
118,0,0xffff
119,0,0xffff
120,0,0xffff
121,0,0xffff
122,0,0xffff
123,0,0xffff
124,0,0xffff
125,0,0xffff
126,0,0xffff
127,0,0xffff
128,0,0xffff
129,0,0xffff
130,0,0xffff
131,0,0xffff
132,0,0xffff
133,0,0xffff
134,0,0xffff
135,0,0xffff
136,0,0xffff
137,0,0xffff
138,0,0xffff
139,0,0xffff
140,0,0xffff
141,0,0xffff
142,0,0xffff
143,0,0xffff
144,0,0xffff
145,0,0xffff
146,0,0xffff
147,0,0xffff
148,0,0xffff
149,0,0xffff
150,0,0xffff
151,0,0xffff
152,0,0xffff
153,0,0xffff
154,0,0xffff
155,0,0xffff
156,0,0xffff
157,0,0xffff
158,0,0xffff
159,0,0xffff
160,0,0xffff
161,0,0xffff
162,0,0xffff
163,0,0xffff
164,0,0xffff
165,0,0xffff
166,0,0xffff
167,0,0xffff
168,0,0xffff
169,0,0xffff
170,0,0xffff
171,0,0xffff
172,0,0xffff
173,0,0xffff
174,0,0xffff
175,0,0xffff
176,0,0xffff
177,0,0xffff
178,0,0xffff
179,0,0xffff
180,0,0xffff
181,0,0xffff
182,0,0xffff
183,0,0xffff
184,0,0xffff
185,0,0xffff
186,0,0xffff
187,0,0xffff
188,0,0xffff
189,0,0xffff
190,0,0xffff
191,0,0xffff
192,0,0xffff
193,0,0xffff
194,0,0xffff
195,0,0xffff
196,0,0xffff
197,0,0xffff
198,0,0xffff
199,0,0xffff
200,0,0xffff
201,0,0xffff
202,0,0xffff
203,0,0xffff
204,0,0xffff
205,0,0xffff
206,0,0xffff
207,0,0xffff
208,0,0xffff
209,0,0xffff
210,0,0xffff
211,0,0xffff
212,0,0xffff
213,0,0xffff
214,0,0xffff
215,0,0xffff
216,0,0xffff
217,0,0xffff
218,0,0xffff
219,0,0xffff
220,0,0xffff
221,0,0xffff
222,0,0xffff
223,0,0xffff
224,0,0xffff
225,0,0xffff
226,0,0xffff
227,0,0xffff
228,0,0xffff
229,0,0xffff
230,0,0xffff
231,0,0xffff
232,0,0xffff
233,0,0xffff
234,0,0xffff
235,0,0xffff
236,0,0xffff
237,0,0xffff
238,0,0xffff
239,0,0xffff
240,0,0xffff
241,0,0xffff
242,0,0xffff
243,0,0xffff
244,0,0xffff
245,0,0xffff
246,0,0xffff
247,0,0xffff
248,0,0xffff
249,0,0xffff
250,0,0xffff
251,0,0xffff
252,0,0xffff
253,0,0xffff
254,0,0xffff
255,0,0xffff
256,0,0xffff
257,0,0xffff
258,0,0xffff
259,0,0xffff
260,0,0xffff
261,0,0xffff
262,0,0xffff
263,0,0xffff
264,0,0xffff
265,0,0xffff
266,0,0xffff
267,0,0xffff
268,0,0xffff
269,0,0xffff
270,0,0xffff
271,0,0xffff
272,0,0xffff
273,0,0xffff
274,0,0xffff
275,0,0xffff
276,0,0xffff
277,0,0xffff
278,0,0xffff
279,0,0xffff
280,0,0xffff
281,0,0xffff
282,0,0xffff
283,0,0xffff
284,0,0xffff
285,0,0xffff
286,0,0xffff
287,0,0xffff
288,0,0xffff
289,0,0xffff
290,0,0xffff
291,0,0xffff
292,0,0xffff
293,0,0xffff
294,0,0xffff
295,0,0xffff
296,0,0xffff
297,0,0xffff
298,0,0xffff
299,0,0xffff
300,0,0xffff
301,0,0xffff
302,0,0xffff
303,0,0xffff
304,0,0xffff
305,0,0xffff
306,0,0xffff
307,0,0xffff
308,0,0xffff
309,0,0xffff
310,0,0xffff
311,0,0xffff
312,0,0xffff
313,0,0xffff
314,0,0xffff
315,0,0xffff
316,0,0xffff
317,0,0xffff
318,0,0xffff
319,0,0xffff
320,0,0xffff
321,0,0xffff
322,0,0xffff
323,0,0xffff
324,0,0xffff
325,0,0xffff
326,0,0xffff
327,0,0xffff
328,0,0xffff
329,0,0xffff
330,0,0xffff
331,0,0xffff
332,0,0xffff
333,0,0xffff
334,0,0xffff
335,0,0xffff
336,0,0xffff
337,0,0xffff
338,0,0xffff
339,0,0xffff
340,0,0xffff
341,0,0xffff
342,0,0xffff
343,0,0xffff
344,0,0xffff
345,0,0xffff
346,0,0xffff
347,0,0xffff
348,0,0xffff
349,0,0xffff
350,0,0xffff
351,0,0xffff
352,0,0xffff
353,0,0xffff
354,0,0xffff
355,0,0xffff
356,0,0xffff
357,0,0xffff
358,0,0xffff
359,0,0xffff
360,0,0xffff
361,0,0xffff
362,0,0xffff
363,0,0xffff
364,0,0xffff
365,0,0xffff
366,0,0xffff
367,0,0xffff
368,0,0xffff
369,0,0xffff
370,0,0xffff
371,0,0xffff
372,0,0xffff
373,0,0xffff
374,0,0xffff
375,0,0xffdf
376,0,0xffdf
377,0,0xffdf
378,0,0xffdf
379,0,0xffff
380,0,0xffdf
381,0,0xffdf
382,0,0xffdf
383,0,0xffdf
384,0,0xffdf
385,0,0xf7df
386,0,0xffbf
387,0,0xffbf
388,0,0xffdf
389,0,0xffbf
390,0,0xffdf
391,0,0xf7bf
392,0,0xf7bf
393,0,0xf7bf
394,0,0xf7bf
395,0,0xf7bf
396,0,0xffbf
397,0,0xffbf
398,0,0xffbf
399,0,0xffdf
400,0,0xf7bf
401,0,0xf7bf
402,0,0xffbf
403,0,0xffbf
404,0,0xffdf
405,0,0xffdf
406,0,0xffdf
407,0,0xffdf
408,0,0xffdf
409,0,0xffdf
410,0,0xffdf
411,0,0xffdf
412,0,0xffff
413,0,0xffff
414,0,0xffff
415,0,0xffff
416,0,0xffff
417,0,0xffff
418,0,0xffff
419,0,0xffff
420,0,0xffff
421,0,0xffff
422,0,0xffff
423,0,0xffff
424,0,0xffff
425,0,0xffff
426,0,0xffff
427,0,0xffff
428,0,0xffff
429,0,0xffff
430,0,0xffff
431,0,0xffff
432,0,0xffff
433,0,0xffff
434,0,0xffff
435,0,0xffff
436,0,0xffff
437,0,0xffff
438,0,0xffff
439,0,0xffff
440,0,0xffff
441,0,0xffff
442,0,0xffff
443,0,0xffff
444,0,0xffff
445,0,0xffff
446,0,0xffff
447,0,0xffff
448,0,0xffff
449,0,0xffff
450,0,0xffff
451,0,0xffff
452,0,0xffff
453,0,0xffff
454,0,0xffff
455,0,0xffff
456,0,0xffff
457,0,0xffff
458,0,0xffff
459,0,0xffff
460,0,0xffff
461,0,0xffff
462,0,0xffff
463,0,0xffff
464,0,0xffff
465,0,0xffff
466,0,0xffff
467,0,0xffff
468,0,0xffff
469,0,0xffff
470,0,0xffff
471,0,0xffff
472,0,0xffff
473,0,0xffff
474,0,0xffff
475,0,0xffff
476,0,0xffff
477,0,0xffff
478,0,0xffff
479,0,0xffff
0,1,0xffff
1,1,0xffff
2,1,0xffff
3,1,0xffff
4,1,0xffff
5,1,0xffff
6,1,0xffff
7,1,0xffff
8,1,0xffff
9,1,0xffff
10,1,0xffff
11,1,0xffff
12,1,0xffff
13,1,0xffff
14,1,0xffff
15,1,0xffff
16,1,0xffff
17,1,0xffff
18,1,0xffff
19,1,0xffff
20,1,0xffff
21,1,0xffff
22,1,0xffff
23,1,0xffff
24,1,0xffff
25,1,0xffff
26,1,0xffff
27,1,0xffff
28,1,0xffff
29,1,0xffff
30,1,0xffff
31,1,0xffff
32,1,0xffff
33,1,0xffff
34,1,0xffff
35,1,0xffff
36,1,0xffff
37,1,0xffff
38,1,0xffff
39,1,0xffff
40,1,0xffff
41,1,0xffff
42,1,0xffff
43,1,0xffff
44,1,0xffff
45,1,0xffff
46,1,0xffff
47,1,0xffff
48,1,0xffff
49,1,0xffff
50,1,0xffff
51,1,0xffff
52,1,0xffff
53,1,0xffff
54,1,0xffff
55,1,0xffff
56,1,0xffff
57,1,0xffff
58,1,0xffff
59,1,0xffff
60,1,0xffff
61,1,0xffff
62,1,0xffff
63,1,0xffff
64,1,0xffff
65,1,0xffff
66,1,0xffff
67,1,0xffff
68,1,0xffff
69,1,0xffff
70,1,0xffff
71,1,0xffff
72,1,0xffff
73,1,0xffff
74,1,0xffff
75,1,0xffff
76,1,0xffff
77,1,0xffff
78,1,0xffff
79,1,0xffff
80,1,0xffff
81,1,0xffff
82,1,0xffff
83,1,0xffff
84,1,0xffff
85,1,0xffff
86,1,0xffff
87,1,0xffff
88,1,0xffff
89,1,0xffff
90,1,0xffff
91,1,0xffff
92,1,0xffff
93,1,0xffff
94,1,0xffff
95,1,0xffff
96,1,0xffff
97,1,0xffff
98,1,0xffff
99,1,0xffff
100,1,0xffff
101,1,0xffff
102,1,0xffff
103,1,0xffff
104,1,0xffff
105,1,0xffff
106,1,0xffff
107,1,0xffff
108,1,0xffff
109,1,0xffff
110,1,0xffff
111,1,0xffff
112,1,0xffff
113,1,0xffff
114,1,0xffff
115,1,0xffff
116,1,0xffff
117,1,0xffff
118,1,0xffff
119,1,0xffff
120,1,0xffff
121,1,0xffff
122,1,0xffff
123,1,0xffff
124,1,0xffff
125,1,0xffff
126,1,0xffff
127,1,0xffff
128,1,0xffff
129,1,0xffff
130,1,0xffff
131,1,0xffff
132,1,0xffff
133,1,0xffff
134,1,0xffff
135,1,0xffff
136,1,0xffff
137,1,0xffff
138,1,0xffff
139,1,0xffff
140,1,0xffff
141,1,0xffff
142,1,0xffff
143,1,0xffff
144,1,0xffff
145,1,0xffff
146,1,0xffff
147,1,0xffff
148,1,0xffff
149,1,0xffff
150,1,0xffff
151,1,0xffff
152,1,0xffff
153,1,0xffff
154,1,0xffff
155,1,0xffff
156,1,0xffff
157,1,0xffff
158,1,0xffff
159,1,0xffff
160,1,0xffff
161,1,0xffff
162,1,0xffff
163,1,0xffff
164,1,0xffff
165,1,0xffff
166,1,0xffff
167,1,0xffff
168,1,0xffff
169,1,0xffff
170,1,0xffff
171,1,0xffff
172,1,0xffff
173,1,0xffff
174,1,0xffff
175,1,0xffff
176,1,0xffff
177,1,0xffff
178,1,0xffff
179,1,0xffff
180,1,0xffff
181,1,0xffff
182,1,0xffff
183,1,0xffff
184,1,0xffff
185,1,0xffff
186,1,0xffff
187,1,0xffff
188,1,0xffff
189,1,0xffff
190,1,0xffff
191,1,0xffff
192,1,0xffff
193,1,0xffff
194,1,0xffff
195,1,0xffff
196,1,0xffff
197,1,0xffff
198,1,0xffff
199,1,0xffff
200,1,0xffff
201,1,0xffff
202,1,0xffff
203,1,0xffff
204,1,0xffff
205,1,0xffff
206,1,0xffff
207,1,0xffff
208,1,0xffff
209,1,0xffff
210,1,0xffff
211,1,0xffff
212,1,0xffff
213,1,0xffff
214,1,0xffff
215,1,0xffff
216,1,0xffff
217,1,0xffff
218,1,0xffff
219,1,0xffff
220,1,0xffff
221,1,0xffff
222,1,0xffff
223,1,0xffff
224,1,0xffff
225,1,0xffff
226,1,0xffff
227,1,0xffff
228,1,0xffff
229,1,0xffff
230,1,0xffff
231,1,0xffff
232,1,0xffff
233,1,0xffff
234,1,0xffff
235,1,0xffff
236,1,0xffff
237,1,0xffff
238,1,0xffff
239,1,0xffff
240,1,0xffff
241,1,0xffff
242,1,0xffff
243,1,0xffff
244,1,0xffff
245,1,0xffff
246,1,0xffff
247,1,0xffff
248,1,0xffff
249,1,0xffff
250,1,0xffff
251,1,0xffff
252,1,0xffff
253,1,0xffff
254,1,0xffff
255,1,0xffff
256,1,0xffff
257,1,0xffff
258,1,0xffff
259,1,0xffff
260,1,0xffff
261,1,0xffff
262,1,0xffff
263,1,0xffff
264,1,0xffff
265,1,0xffff
266,1,0xffff
267,1,0xffff
268,1,0xffff
269,1,0xffff
270,1,0xffff
271,1,0xffff
272,1,0xffff
273,1,0xffff
274,1,0xffff
275,1,0xffff
276,1,0xffff
277,1,0xffff
278,1,0xffff
279,1,0xffff
280,1,0xffff
281,1,0xffff
282,1,0xffff
283,1,0xffff
284,1,0xffff
285,1,0xffff
286,1,0xffff
287,1,0xffff
288,1,0xffff
289,1,0xffff
290,1,0xffff
291,1,0xffff
292,1,0xffff
293,1,0xffff
294,1,0xffff
295,1,0xffff
296,1,0xffff
297,1,0xffff
298,1,0xffff
299,1,0xffff
300,1,0xffff
301,1,0xffff
302,1,0xffff
303,1,0xffff
304,1,0xffff
305,1,0xffff
306,1,0xffff
307,1,0xffff
308,1,0xffff
